Date,IntMom_01,IntMom_02,IntMom_03,IntMom_04,IntMom_05,IntMom_06,IntMom_07,IntMom_08,IntMom_09,IntMom_10
199001,-1.36515223260674,-4.3621901624681,-0.721379473906156,-6.32542597303219,-5.58332566076713,-7.13675622784616,-7.30972828730934,-8.09723624913433,-9.28519944777419,-13.1213546008036
199002,4.44978128334771,3.74182643688731,3.42938131014951,1.74659260679063,0.982491716669887,1.15219673540524,1.25237731955097,0.957658669734777,1.74956299458022,4.82616736666918
199003,2.8462175894545,2.03976076343069,3.3221926430333,2.16458696940798,1.4467416136919,1.1454117014026,2.25218218476918,2.49551457346842,3.971112964307,4.15307551620373
199004,-7.40567979853146,-5.4553006371405,-4.13802949601041,-1.41009750229563,-4.57675105580384,-3.21552275730006,-3.74931735493142,-2.71192813702576,-2.02495221798698,-0.798160596738031
199005,4.04764807494032,4.47452898302031,8.69953493279291,8.10732453936203,7.34781865241628,7.57579856796132,8.60089758204094,9.99968560448042,10.354542362765,13.279709787369
199006,1.28897413762136,1.00161821825618,-0.850828967859736,-1.81053330495558,-2.97077836812276,-2.36924775646928,-0.810050773230502,0.484964498730376,-0.36602962342115,3.53440273073775
199007,-6.68512757020695,-9.09206868734043,-8.34965875970328,-4.69905320647791,-4.66183713847469,-2.21273177844173,-0.424670101911655,1.0897804903922,0.360949173787091,-0.475393292969774
199008,-18.8836380934934,-13.8172986313721,-11.9094083988276,-10.5421966611469,-10.8250443817157,-10.6994355294338,-10.0965557742824,-8.5552510840919,-8.33392128689717,-8.54103046580058
199009,-16.1837188490087,-14.4082971529072,-10.225228122197,-8.79693446466302,-6.28115326725549,-7.31372379674048,-4.70955019390282,-2.29626171491166,-5.04597949349894,-5.20393141522209
199010,-8.54701228016178,-7.07766076036319,-4.51878607773188,-5.21820222220324,-4.29890886479263,-1.22920165078246,1.14387223036127,1.7642978308341,-1.4078772527499,-5.91552938646972
199011,8.56416470759408,11.5430025845845,11.6975034488974,7.50829397130649,10.1315410985791,7.13206441385211,6.30425421938258,5.58483305664677,4.88144002752989,9.25226577996656
199012,-1.56996281376019,3.77967738679525,4.12820585950554,4.38054931278031,4.53773596564846,2.86333751102395,3.49748493647419,1.80410846098618,3.08548060733333,4.27571930204244
199101,11.1908436822787,4.8536544327863,8.296957671555,6.90927096159818,4.91319349594547,4.57072798202309,2.29308272413263,3.03294466019779,8.03568768430241,13.81304536868
199102,16.9688517778312,14.3594638947943,8.05842306828812,5.52603829827659,6.52379792658049,8.02937257476763,6.7502419781576,9.21606042987097,6.87264295181664,8.6975478807275
199103,7.01279757705527,5.79402935661512,0.535677677467225,2.54055659054905,3.6845679961142,3.57464925920524,2.17880785188012,1.50462849563266,3.60280637947529,6.70570279670566
199104,-1.13950339278251,1.70128962168096,2.7986232488932,2.58690599179089,0.666496436519711,0.28130005958604,1.06057698855028,-0.0127085649009747,-0.861190938913468,-0.540659124921698
199105,3.64385679405633,5.27476706536787,5.99327321744095,7.09208516857139,5.3498017580105,6.51561006626637,4.94910450595969,2.49302824107398,2.24093286352913,3.7459913588114
199106,-9.35673497193606,-7.11220214749722,-5.39115615887484,-6.69181744138348,-5.1245535484795,-5.53612152222339,-3.72644039255111,-4.5322892362653,-2.98333377536711,-4.63141311975549
199107,0.390113912316911,3.69744832338624,3.69885493158611,3.89421372127676,3.9932693135819,2.98164639262566,3.42100391042982,4.96754262008012,5.61757041269959,5.98927476634937
199108,7.98079233455941,3.28466650142966,3.98432607174186,2.40438800802912,1.92732071623086,1.44646294020818,2.31937580743968,2.72686392257239,3.03485049235645,2.7915422885043
199109,-4.88651303370282,-2.72601735270737,-3.71615249920372,-2.05927186120267,-1.46509935175961,-2.78282412871045,-1.78474612579748,0.00151927308576277,-0.878220866832934,-0.139973952201583
199110,-0.775354567738123,0.965178704754866,-1.45093213536442,2.30207058745614,-0.582749621781455,1.59927674023571,2.07974454733257,2.06165155367861,2.22740611018642,4.82675951364519
199111,-7.23491963739881,-5.59516558710197,-8.10640433050571,-5.89036096400369,-3.12928818426209,-2.40863540359147,-3.15437804378734,-2.63226022192494,-4.91563087475638,-3.42993862415755
199112,-2.32471215931231,3.48804052255182,5.33401790033875,7.62757792241482,9.92889189850098,12.5281647437218,15.4195789416022,13.229545126235,14.9366168055714,17.7330187572947
